Airport	Wind (MPH)	Temperature (C)	Status
ESGJ	3	-1	Everything is fine!
LFYR	0	5	Everything is fine!
KW99	0	5.3	Everything is fine!
MNRS	12	31	Everything is fine!
KBLV	5	13.1	Everything is fine!
K19S	10	12.2	Everything is fine!
EKOD	13	0	Everything is fine!
KQEV	1	-2	Everything is fine!
ZMUB	2	-23	Be careful!
MMOX	0	19	Everything is fine!
KFWN	22	2.8	Be careful!
K1ON	17	0.4	Be careful!
KLWT	21	11.7	Be careful!
KBLF	24	5.6	Be careful!
KAFK	7	8.7	Everything is fine!
KT70	3	17.8	Everything is fine!
KHWY	7	7.1	Everything is fine!
KMJX	33	7.2	Be careful!
CYMO	26	4	Be careful!
CXMG	5	-19.6	Be careful!
KGCC	12	8.9	Everything is fine!
OIBP	0	17	Everything is fine!
KGRR	7	2.8	Everything is fine!
KHBG	7	12.2	Everything is fine!
KMWA	5	11	Everything is fine!
LKLN	3	-2	Everything is fine!
KXNA	5	12.8	Everything is fine!
KIJD	16	5.0	Be careful!
CXEG	0	-7.9	Be careful!
